campaign_key,campaign_id,campaign_name,start_date,end_date,channel
5001,1,Campaign 1,2023-01-01,2023-01-02,Facebook Ads
5002,2,Campaign 2,2023-01-03,2023-01-04,Facebook Ads
5003,3,Campaign 3,2023-01-05,2023-01-06,Google Ads
5004,4,Campaign 4,2023-01-07,2023-01-08,Email
5005,5,Campaign 5,2023-01-09,2023-01-10,Facebook Ads
5006,6,Campaign 6,2023-01-11,2023-01-12,SMS
5007,7,Campaign 7,2023-01-13,2023-01-14,SMS
5008,8,Campaign 8,2023-01-15,2023-01-16,Email
5009,9,Campaign 9,2023-01-17,2023-01-18,Email
5010,10,Campaign 10,2023-01-19,2023-01-20,Facebook Ads
5011,11,Campaign 11,2023-01-21,2023-01-22,Facebook Ads
5012,12,Campaign 12,2023-01-23,2023-01-24,Email
5013,13,Campaign 13,2023-01-25,2023-01-26,Instagram
5014,14,Campaign 14,2023-01-27,2023-01-28,Instagram
5015,15,Campaign 15,2023-01-29,2023-01-30,Email
5016,16,Campaign 16,2023-01-31,2023-02-01,Email
5017,17,Campaign 17,2023-02-02,2023-02-03,Instagram
5018,18,Campaign 18,2023-02-04,2023-02-05,Instagram
5019,19,Campaign 19,2023-02-06,2023-02-07,SMS
5020,20,Campaign 20,2023-02-08,2023-02-09,Google Ads
5021,21,Campaign 21,2023-02-10,2023-02-11,Instagram
5022,22,Campaign 22,2023-02-12,2023-02-13,Instagram
5023,23,Campaign 23,2023-02-14,2023-02-15,Social Media
5024,24,Campaign 24,2023-02-16,2023-02-17,SMS
5025,25,Campaign 25,2023-02-18,2023-02-19,SMS
5026,26,Campaign 26,2023-02-20,2023-02-21,Facebook Ads
5027,27,Campaign 27,2023-02-22,2023-02-23,Google Ads
5028,28,Campaign 28,2023-02-24,2023-02-25,Google Ads
5029,29,Campaign 29,2023-02-26,2023-02-27,Email
5030,30,Campaign 30,2023-02-28,2023-03-01,Social Media
5031,31,Campaign 31,2023-03-02,2023-03-03,Facebook Ads
5032,32,Campaign 32,2023-03-04,2023-03-05,Google Ads
5033,33,Campaign 33,2023-03-06,2023-03-07,Instagram
5034,34,Campaign 34,2023-03-08,2023-03-09,Instagram
5035,35,Campaign 35,2023-03-10,2023-03-11,Instagram
5036,36,Campaign 36,2023-03-12,2023-03-13,Facebook Ads
5037,37,Campaign 37,2023-03-14,2023-03-15,SMS
5038,38,Campaign 38,2023-03-16,2023-03-17,SMS
5039,39,Campaign 39,2023-03-18,2023-03-19,Google Ads
5040,40,Campaign 40,2023-03-20,2023-03-21,SMS
5041,41,Campaign 41,2023-03-22,2023-03-23,Facebook Ads
5042,42,Campaign 42,2023-03-24,2023-03-25,Email
5043,43,Campaign 43,2023-03-26,2023-03-27,Email
5044,44,Campaign 44,2023-03-28,2023-03-29,SMS
5045,45,Campaign 45,2023-03-30,2023-03-31,Social Media
5046,46,Campaign 46,2023-04-01,2023-04-02,Email
5047,47,Campaign 47,2023-04-03,2023-04-04,Google Ads
