date_key,full_date,day,day_name,week,month,month_name,quarter,year
20230101,2023-01-01,1,Sunday,1,1,January,1,2023
20230102,2023-01-02,2,Monday,1,1,January,1,2023
20230103,2023-01-03,3,Tuesday,1,1,January,1,2023
20230104,2023-01-04,4,Wednesday,1,1,January,1,2023
20230105,2023-01-05,5,Thursday,1,1,January,1,2023
20230106,2023-01-06,6,Friday,1,1,January,1,2023
20230107,2023-01-07,7,Saturday,1,1,January,1,2023
20230108,2023-01-08,8,Sunday,2,1,January,1,2023
20230109,2023-01-09,9,Monday,2,1,January,1,2023
20230110,2023-01-10,10,Tuesday,2,1,January,1,2023
20230111,2023-01-11,11,Wednesday,2,1,January,1,2023
20230112,2023-01-12,12,Thursday,2,1,January,1,2023
20230113,2023-01-13,13,Friday,2,1,January,1,2023
20230114,2023-01-14,14,Saturday,2,1,January,1,2023
20230115,2023-01-15,15,Sunday,3,1,January,1,2023
20230117,2023-01-17,17,Tuesday,3,1,January,1,2023
20230119,2023-01-19,19,Thursday,3,1,January,1,2023
20230120,2023-01-20,20,Friday,3,1,January,1,2023
20230121,2023-01-21,21,Saturday,3,1,January,1,2023
20230122,2023-01-22,22,Sunday,4,1,January,1,2023
20230123,2023-01-23,23,Monday,4,1,January,1,2023
20230124,2023-01-24,24,Tuesday,4,1,January,1,2023
20230125,2023-01-25,25,Wednesday,4,1,January,1,2023
20230126,2023-01-26,26,Thursday,4,1,January,1,2023
20230127,2023-01-27,27,Friday,4,1,January,1,2023
20230128,2023-01-28,28,Saturday,4,1,January,1,2023
20230129,2023-01-29,29,Sunday,5,1,January,1,2023
20230130,2023-01-30,30,Monday,5,1,January,1,2023
20230131,2023-01-31,31,Tuesday,5,1,January,1,2023
20230201,2023-02-01,1,Wednesday,5,2,February,1,2023
20230202,2023-02-02,2,Thursday,5,2,February,1,2023
20230203,2023-02-03,3,Friday,5,2,February,1,2023
20230204,2023-02-04,4,Saturday,5,2,February,1,2023
20230205,2023-02-05,5,Sunday,6,2,February,1,2023
20230206,2023-02-06,6,Monday,6,2,February,1,2023
20230207,2023-02-07,7,Tuesday,6,2,February,1,2023
20230208,2023-02-08,8,Wednesday,6,2,February,1,2023
20230209,2023-02-09,9,Thursday,6,2,February,1,2023
20230210,2023-02-10,10,Friday,6,2,February,1,2023
20230211,2023-02-11,11,Saturday,6,2,February,1,2023
20230212,2023-02-12,12,Sunday,7,2,February,1,2023
20230213,2023-02-13,13,Monday,7,2,February,1,2023
20230214,2023-02-14,14,Tuesday,7,2,February,1,2023
20230215,2023-02-15,15,Wednesday,7,2,February,1,2023
20230216,2023-02-16,16,Thursday,7,2,February,1,2023
20230217,2023-02-17,17,Friday,7,2,February,1,2023
20230218,2023-02-18,18,Saturday,7,2,February,1,2023
20230219,2023-02-19,19,Sunday,8,2,February,1,2023
20230220,2023-02-20,20,Monday,8,2,February,1,2023
20230221,2023-02-21,21,Tuesday,8,2,February,1,2023
20230222,2023-02-22,22,Wednesday,8,2,February,1,2023
20230223,2023-02-23,23,Thursday,8,2,February,1,2023
20230224,2023-02-24,24,Friday,8,2,February,1,2023
20230225,2023-02-25,25,Saturday,8,2,February,1,2023
20230227,2023-02-27,27,Monday,9,2,February,1,2023
20230228,2023-02-28,28,Tuesday,9,2,February,1,2023
20230301,2023-03-01,1,Wednesday,9,3,March,1,2023
20230302,2023-03-02,2,Thursday,9,3,March,1,2023
20230303,2023-03-03,3,Friday,9,3,March,1,2023
20230304,2023-03-04,4,Saturday,9,3,March,1,2023
20230305,2023-03-05,5,Sunday,10,3,March,1,2023
20230306,2023-03-06,6,Monday,10,3,March,1,2023
20230307,2023-03-07,7,Tuesday,10,3,March,1,2023
20230309,2023-03-09,9,Thursday,10,3,March,1,2023
20230310,2023-03-10,10,Friday,10,3,March,1,2023
20230311,2023-03-11,11,Saturday,10,3,March,1,2023
20230312,2023-03-12,12,Sunday,11,3,March,1,2023
20230313,2023-03-13,13,Monday,11,3,March,1,2023
20230314,2023-03-14,14,Tuesday,11,3,March,1,2023
20230315,2023-03-15,15,Wednesday,11,3,March,1,2023
20230316,2023-03-16,16,Thursday,11,3,March,1,2023
20230320,2023-03-20,20,Monday,12,3,March,1,2023
20230321,2023-03-21,21,Tuesday,12,3,March,1,2023
20230322,2023-03-22,22,Wednesday,12,3,March,1,2023
20230323,2023-03-23,23,Thursday,12,3,March,1,2023
20230324,2023-03-24,24,Friday,12,3,March,1,2023
20230325,2023-03-25,25,Saturday,12,3,March,1,2023
20230326,2023-03-26,26,Sunday,13,3,March,1,2023
20230327,2023-03-27,27,Monday,13,3,March,1,2023
20230328,2023-03-28,28,Tuesday,13,3,March,1,2023
20230329,2023-03-29,29,Wednesday,13,3,March,1,2023
20230330,2023-03-30,30,Thursday,13,3,March,1,2023
20230331,2023-03-31,31,Friday,13,3,March,1,2023
20230401,2023-04-01,1,Saturday,13,4,April,2,2023
20230402,2023-04-02,2,Sunday,14,4,April,2,2023
20230403,2023-04-03,3,Monday,14,4,April,2,2023
20230404,2023-04-04,4,Tuesday,14,4,April,2,2023
20230405,2023-04-05,5,Wednesday,14,4,April,2,2023
20230406,2023-04-06,6,Thursday,14,4,April,2,2023
20230407,2023-04-07,7,Friday,14,4,April,2,2023
20230408,2023-04-08,8,Saturday,14,4,April,2,2023
20230409,2023-04-09,9,Sunday,15,4,April,2,2023
20230410,2023-04-10,10,Monday,15,4,April,2,2023
20230411,2023-04-11,11,Tuesday,15,4,April,2,2023
20230412,2023-04-12,12,Wednesday,15,4,April,2,2023
20230413,2023-04-13,13,Thursday,15,4,April,2,2023
20230414,2023-04-14,14,Friday,15,4,April,2,2023
20230415,2023-04-15,15,Saturday,15,4,April,2,2023
20230417,2023-04-17,17,Monday,16,4,April,2,2023
20230418,2023-04-18,18,Tuesday,16,4,April,2,2023
20230419,2023-04-19,19,Wednesday,16,4,April,2,2023
20230420,2023-04-20,20,Thursday,16,4,April,2,2023
20230421,2023-04-21,21,Friday,16,4,April,2,2023
20230422,2023-04-22,22,Saturday,16,4,April,2,2023
20230423,2023-04-23,23,Sunday,17,4,April,2,2023
20230424,2023-04-24,24,Monday,17,4,April,2,2023
20230425,2023-04-25,25,Tuesday,17,4,April,2,2023
20230426,2023-04-26,26,Wednesday,17,4,April,2,2023
20230427,2023-04-27,27,Thursday,17,4,April,2,2023
20230428,2023-04-28,28,Friday,17,4,April,2,2023
20230429,2023-04-29,29,Saturday,17,4,April,2,2023
20230430,2023-04-30,30,Sunday,18,4,April,2,2023
20230501,2023-05-01,1,Monday,18,5,May,2,2023
20230502,2023-05-02,2,Tuesday,18,5,May,2,2023
20230503,2023-05-03,3,Wednesday,18,5,May,2,2023
20230504,2023-05-04,4,Thursday,18,5,May,2,2023
20230505,2023-05-05,5,Friday,18,5,May,2,2023
20230506,2023-05-06,6,Saturday,18,5,May,2,2023
20230507,2023-05-07,7,Sunday,19,5,May,2,2023
20230508,2023-05-08,8,Monday,19,5,May,2,2023
20230509,2023-05-09,9,Tuesday,19,5,May,2,2023
20230510,2023-05-10,10,Wednesday,19,5,May,2,2023
20230511,2023-05-11,11,Thursday,19,5,May,2,2023
20230512,2023-05-12,12,Friday,19,5,May,2,2023
20230513,2023-05-13,13,Saturday,19,5,May,2,2023
20230514,2023-05-14,14,Sunday,20,5,May,2,2023
20230515,2023-05-15,15,Monday,20,5,May,2,2023
20230516,2023-05-16,16,Tuesday,20,5,May,2,2023
20230517,2023-05-17,17,Wednesday,20,5,May,2,2023
20230518,2023-05-18,18,Thursday,20,5,May,2,2023
20230519,2023-05-19,19,Friday,20,5,May,2,2023
20230520,2023-05-20,20,Saturday,20,5,May,2,2023
20230521,2023-05-21,21,Sunday,21,5,May,2,2023
20230522,2023-05-22,22,Monday,21,5,May,2,2023
20230523,2023-05-23,23,Tuesday,21,5,May,2,2023
20230524,2023-05-24,24,Wednesday,21,5,May,2,2023
20230525,2023-05-25,25,Thursday,21,5,May,2,2023
20230526,2023-05-26,26,Friday,21,5,May,2,2023
20230527,2023-05-27,27,Saturday,21,5,May,2,2023
20230528,2023-05-28,28,Sunday,22,5,May,2,2023
20230529,2023-05-29,29,Monday,22,5,May,2,2023
20230530,2023-05-30,30,Tuesday,22,5,May,2,2023
20230531,2023-05-31,31,Wednesday,22,5,May,2,2023
20230601,2023-06-01,1,Thursday,22,6,June,2,2023
20230602,2023-06-02,2,Friday,22,6,June,2,2023
20230603,2023-06-03,3,Saturday,22,6,June,2,2023
20230604,2023-06-04,4,Sunday,23,6,June,2,2023
20230605,2023-06-05,5,Monday,23,6,June,2,2023
20230607,2023-06-07,7,Wednesday,23,6,June,2,2023
20230608,2023-06-08,8,Thursday,23,6,June,2,2023
20230609,2023-06-09,9,Friday,23,6,June,2,2023
20230610,2023-06-10,10,Saturday,23,6,June,2,2023
20230611,2023-06-11,11,Sunday,24,6,June,2,2023
