sales_key,transaction_id,transaction_item_id,customer_key,product_key,date_key,campaign_key,quantity,unit_price,sales_amount
40064,1226,3637,5724,5013,20241117,5716,2,4568577.1,9137154.2
40065,657,1965,5013,5013,20230109,5005,3,4568577.1,13705731.3
40066,455,1323,5212,5013,20240805,5292,1,4568577.1,4568577.1
40067,882,2639,5928,5013,20231121,5163,1,4568577.1,4568577.1
40068,999,2971,5887,5013,20240704,5276,1,4568577.1,4568577.1
40069,1534,4505,5598,5015,20230903,5123,2,3523148.68,7046297.36
40070,700,2103,5093,5015,20241009,5696,1,3523148.68,3523148.68
40071,1941,5723,5975,5015,20240802,5290,2,3523148.68,7046297.36
40072,1779,5237,5642,5015,20231205,5170,3,3523148.68,10569446.04
40073,1074,3183,5472,5015,20230227,5029,1,3523148.68,3523148.68
40074,1292,3812,5828,5015,20230403,5047,4,3523148.68,14092594.72
40075,242,680,5954,5015,20231129,5167,2,3523148.68,7046297.36
40076,1783,5245,5374,5030,20240131,5198,4,1810873.66,7243494.64
40077,522,1529,5698,5030,20240411,5234,3,1810873.66,5432620.98
40078,610,1825,5948,5030,20231029,5151,2,1810873.66,3621747.32
40079,785,2344,5959,5030,20240916,5313,4,1810873.66,7243494.64
40080,1569,4604,5017,5032,20240905,5307,1,3063622.33,3063622.33
40081,1854,5470,5271,5032,20230726,5104,3,3063622.33,9190866.99
40082,1730,5068,5937,5032,20240122,5194,1,3063622.33,3063622.33
40083,470,1366,5272,5032,20230201,5016,2,3063622.33,6127244.66
40084,1692,4962,5115,5032,20231018,5146,1,3063622.33,3063622.33
40085,1243,3684,5542,5032,20240322,5224,3,3063622.33,9190866.99
40086,775,2325,5145,5047,20230429,5060,2,4231209.19,8462418.38
40087,345,982,5492,5047,20240918,5314,1,4231209.19,4231209.19
40088,1892,5579,5522,5047,20240119,5192,2,4231209.19,8462418.38
40089,1927,5679,5564,5047,20240704,5276,3,4231209.19,12693627.57
40090,1591,4668,5991,5047,20241221,5733,1,4231209.19,4231209.19
40091,137,376,5187,5047,20241128,5721,5,4231209.19,21156045.95
40092,1800,5307,5330,5049,20230730,5106,1,634599.77,634599.77
40093,1529,4491,5524,5049,20241231,5738,2,634599.77,1269199.54
40094,306,877,5724,5049,20240125,5195,4,634599.77,2538399.08
40095,900,2700,5976,5049,20240914,5312,3,634599.77,1903799.31
40096,1585,4651,5774,5049,20230815,5114,2,634599.77,1269199.54
40097,1838,5415,5920,5064,20241231,5738,2,2203631.44,4407262.88
40098,400,1163,5639,5064,20240401,5229,5,2203631.44,11018157.2
40099,1044,3103,5636,5064,20231107,5156,5,2203631.44,11018157.2
40100,1733,5081,5343,5064,20230328,5044,1,2203631.44,2203631.44
40101,655,1959,5539,5066,20241124,5719,5,3037234.71,15186173.55
40102,1563,4582,5623,5066,20240318,5222,4,3037234.71,12148938.84
40103,1041,3094,5886,5066,20241125,5720,1,3037234.71,3037234.71
40104,1924,5667,5778,5066,20240508,5247,1,3037234.71,3037234.71
40105,867,2595,5912,5066,20231108,5156,3,3037234.71,9111704.13
40106,46,134,5568,5066,20240104,5185,5,3037234.71,15186173.55
40107,1704,4994,5811,5081,20230528,5074,3,2491877.66,7475632.98
40108,440,1276,5392,5081,20241009,5696,2,2491877.66,4983755.32
40109,1912,5641,5460,5081,20240716,5282,3,2491877.66,7475632.98
40110,1789,5268,5980,5081,20230128,5014,2,2491877.66,4983755.32
40111,211,589,5717,5081,20240102,5184,1,2491877.66,2491877.66
40112,1406,4118,5730,5083,20230930,5137,3,4833766.29,14501298.87
40113,1906,5623,5642,5098,20230707,5094,5,1975579.53,9877897.65
40114,1325,3889,5376,5098,20230625,5088,3,1975579.53,5926738.59
40115,1110,3294,5718,5098,20230120,5010,1,1975579.53,1975579.53
40116,72,200,5188,5098,20230408,5049,5,1975579.53,9877897.65
40117,1007,2997,5365,5098,20231118,5161,1,1975579.53,1975579.53
40118,1726,5055,5115,5098,20230207,5019,5,1975579.53,9877897.65
40119,535,1578,5073,5098,20240723,5285,5,1975579.53,9877897.65
40120,543,1603,5804,5098,20240321,5223,5,1975579.53,9877897.65
40121,882,2637,5928,5098,20231121,5163,2,1975579.53,3951159.06
40122,1068,3173,5047,5100,20230129,5015,1,3777276.21,3777276.21
40123,217,603,5153,5100,20240329,5227,1,3777276.21,3777276.21
40124,244,690,5655,5100,20230408,5049,1,3777276.21,3777276.21
40125,886,2647,5199,5100,20240526,5256,2,3777276.21,7554552.42
40126,654,1956,5233,5100,20230719,5100,2,3777276.21,7554552.42
40127,962,2873,6000,5100,20230616,5084,1,3777276.21,3777276.21
40128,1376,4029,5529,5100,20240301,5213,1,3777276.21,3777276.21
40129,1760,5165,5373,5100,20230821,5117,4,3777276.21,15109104.84
40130,1362,3985,5240,5113,20230716,5099,3,3985806.52,11957419.56
40131,358,1022,5958,5113,20230729,5105,1,3985806.52,3985806.52
40132,1115,3308,5186,5113,20240921,5315,2,3985806.52,7971613.04
40133,160,441,5822,5113,20241022,5703,1,3985806.52,3985806.52
40134,1457,4262,5116,5115,20230911,5127,5,4835682.77,24178413.85
40135,771,2313,5045,5115,20240923,5316,4,4835682.77,19342731.08
40136,1161,3453,5478,5115,20241118,5716,3,4835682.77,14507048.31
40137,636,1896,5948,5115,20230429,5060,2,4835682.77,9671365.54
40138,722,2158,5176,5115,20240816,5297,2,4835682.77,9671365.54
40139,643,1917,5692,5115,20240404,5230,3,4835682.77,14507048.31
40140,920,2754,5772,5115,20230309,5034,2,4835682.77,9671365.54
40141,1802,5313,5190,5115,20240910,5310,2,4835682.77,9671365.54
40142,1206,3578,5972,5130,20230818,5115,1,2735903.36,2735903.36
40143,1264,3737,5510,5130,20231203,5169,2,2735903.36,5471806.72
40144,486,1417,5785,5130,20231202,5168,1,2735903.36,2735903.36
40145,1615,4741,5006,5130,20240404,5230,2,2735903.36,5471806.72
40146,644,1922,5697,5130,20231120,5162,2,2735903.36,5471806.72
40147,1680,4926,5447,5130,20230104,5002,3,2735903.36,8207710.08
40148,803,2408,5197,5130,20230816,5114,1,2735903.36,2735903.36
40149,805,2411,5046,5130,20230106,5003,3,2735903.36,8207710.08
40150,564,1675,5092,5130,20240321,5223,5,2735903.36,13679516.8
40151,1857,5477,5838,5130,20230115,5008,1,2735903.36,2735903.36
40152,1923,5663,5837,5130,20240319,5222,1,2735903.36,2735903.36
40153,862,2578,5590,5132,20231210,5172,1,4787113.61,4787113.61
40154,622,1852,5955,5132,20230425,5058,3,4787113.61,14361340.83
40155,776,2328,5604,5132,20230829,5121,5,4787113.61,23935568.05
40156,162,445,5254,5014,20241206,5725,1,1316265.62,1316265.62
40157,1928,5684,5277,5014,20230629,5090,1,1316265.62,1316265.62
40158,1663,4883,5615,5014,20240425,5241,2,1316265.62,2632531.24
40159,829,2484,5138,5014,20241121,5718,1,1316265.62,1316265.62
40160,349,993,5914,5014,20230323,5041,3,1316265.62,3948796.86
40161,1497,4409,5885,5016,20240404,5230,5,4981861.91,24909309.55
40162,1850,5451,5287,5016,20241109,5712,3,4981861.91,14945585.73
40163,905,2715,5976,5016,20240608,5263,1,4981861.91,4981861.91
40164,259,737,5446,5016,20240531,5259,1,4981861.91,4981861.91
40165,360,1030,5885,5016,20241205,5725,4,4981861.91,19927447.64
40166,484,1413,5174,5016,20230714,5098,2,4981861.91,9963723.82
40167,1495,4398,5649,5031,20230522,5071,5,2342355.14,11711775.7
40168,282,804,5699,5031,20230828,5120,3,2342355.14,7027065.42
40169,291,834,5985,5031,20240704,5276,1,2342355.14,2342355.14
40170,1407,4121,5642,5031,20240229,5213,1,2342355.14,2342355.14
40171,1830,5390,5278,5031,20241212,5728,4,2342355.14,9369420.56
40172,1076,3192,5161,5031,20240829,5304,1,2342355.14,2342355.14
40173,188,528,5102,5031,20240512,5249,2,2342355.14,4684710.28
40174,1306,3844,5079,5031,20230218,5025,3,2342355.14,7027065.42
40175,661,1981,5025,5031,20230717,5099,2,2342355.14,4684710.28
40176,398,1154,5317,5031,20241230,5737,2,2342355.14,4684710.28
40177,1702,4984,5131,5031,20240623,5270,2,2342355.14,4684710.28
40178,1387,4063,5146,5033,20240724,5286,1,338083.05,338083.05
40179,447,1298,5246,5033,20230216,5024,5,338083.05,1690415.25
40180,7,24,5209,5033,20230107,5004,2,338083.05,676166.1
40181,1259,3723,5994,5033,20241110,5712,4,338083.05,1352332.2
40182,1267,3750,5934,5033,20230419,5055,3,338083.05,1014249.15
40183,1103,3274,5841,5033,20230320,5040,4,338083.05,1352332.2
40184,1832,5399,5039,5046,20230719,5100,1,1736655.18,1736655.18
40185,1929,5690,5352,5046,20240419,5238,2,1736655.18,3473310.36
40186,1226,3636,5724,5046,20241117,5716,3,1736655.18,5209965.54
40187,628,1868,5087,5046,20230203,5017,2,1736655.18,3473310.36
40188,1380,4039,5845,5046,20230612,5082,4,1736655.18,6946620.72
40189,1958,5773,5160,5046,20230324,5042,1,1736655.18,1736655.18
40190,1404,4111,5512,5046,20240430,5243,4,1736655.18,6946620.72
40191,298,857,5806,5048,20231018,5146,3,989546.58,2968639.74
40192,1477,4339,5172,5048,20240726,5287,2,989546.58,1979093.16
40193,1920,5657,5274,5050,20240104,5185,1,3075997.11,3075997.11
40194,1798,5297,5207,5050,20230312,5036,4,3075997.11,12303988.44
40195,639,1904,5276,5050,20240629,5273,4,3075997.11,12303988.44
40196,1506,4434,5657,5050,20241022,5703,1,3075997.11,3075997.11
40197,311,890,5041,5050,20241230,5737,3,3075997.11,9227991.33
40198,204,574,5432,5050,20230414,5052,3,3075997.11,9227991.33
40199,137,377,5187,5063,20241128,5721,2,3446181.72,6892363.44
40200,1808,5330,5224,5063,20230910,5127,1,3446181.72,3446181.72
40201,522,1532,5698,5063,20240411,5234,5,3446181.72,17230908.6
40202,463,1349,5853,5063,20240228,5212,3,3446181.72,10338545.16
40203,1355,3965,5542,5063,20240308,5217,1,3446181.72,3446181.72
40204,1678,4922,5126,5063,20230418,5054,4,3446181.72,13784726.88
40205,1428,4176,5344,5063,20230531,5076,3,3446181.72,10338545.16
40206,998,2967,5152,5065,20231016,5145,4,2327566.37,9310265.48
40207,528,1553,5387,5065,20231129,5167,1,2327566.37,2327566.37
40208,1076,3189,5161,5065,20240829,5304,2,2327566.37,4655132.74
40209,1304,3840,5423,5065,20231104,5154,2,2327566.37,4655132.74
40210,1504,4429,5583,5065,20230619,5085,1,2327566.37,2327566.37
40211,66,185,5217,5080,20240824,5301,3,2498810.94,7496432.82
40212,568,1686,5220,5080,20240114,5190,1,2498810.94,2498810.94
40213,1215,3604,5266,5080,20240406,5231,5,2498810.94,12494054.7
40214,1065,3165,5629,5080,20240828,5303,5,2498810.94,12494054.7
40215,1947,5747,5377,5080,20230910,5127,3,2498810.94,7496432.82
40216,562,1671,5525,5080,20230730,5106,5,2498810.94,12494054.7
40217,999,2970,5887,5082,20240704,5276,4,4726711.69,18906846.76
40218,1575,4624,5084,5082,20240207,5202,3,4726711.69,14180135.07
40219,558,1659,5674,5097,20230101,5001,1,652030.32,652030.32
40220,219,606,5780,5097,20240116,5191,4,652030.32,2608121.28
40221,1332,3907,5972,5097,20230519,5070,5,652030.32,3260151.6
40222,1759,5158,5452,5097,20230602,5077,4,652030.32,2608121.28
40223,724,2164,5667,5097,20230525,5073,4,652030.32,2608121.28
40224,37,108,5143,5099,20240526,5256,3,2793580.87,8380742.61
40225,1863,5497,5637,5099,20241003,5693,5,2793580.87,13967904.35
40226,1258,3721,5141,5099,20231007,5140,4,2793580.87,11174323.48
40227,1976,5823,5578,5099,20230423,5057,5,2793580.87,13967904.35
40228,1370,4010,5816,5099,20240104,5185,4,2793580.87,11174323.48
40229,966,2887,5717,5114,20240628,5273,2,2988578.98,5977157.96
40230,1770,5203,5194,5114,20230512,5066,1,2988578.98,2988578.98
40231,665,1993,5089,5114,20230505,5063,5,2988578.98,14942894.9
40232,274,776,5892,5114,20240812,5295,4,2988578.98,11954315.92
40233,1688,4947,5338,5114,20230526,5073,1,2988578.98,2988578.98
40234,1356,3968,5493,5114,20240720,5284,3,2988578.98,8965736.94
40235,743,2218,5176,5114,20240325,5225,4,2988578.98,11954315.92
40236,788,2353,5984,5116,20240103,5184,4,3609786.56,14439146.24
40237,824,2468,5324,5116,20230203,5017,4,3609786.56,14439146.24
40238,1057,3144,5538,5116,20240317,5221,1,3609786.56,3609786.56
40239,1657,4869,5814,5116,20230906,5125,4,3609786.56,14439146.24
40240,518,1520,5228,5116,20231231,5183,3,3609786.56,10829359.68
40241,465,1355,5566,5116,20241125,5720,5,3609786.56,18048932.8
40242,350,997,5368,5116,20240529,5258,3,3609786.56,10829359.68
40243,1129,3349,5156,5116,20240308,5217,5,3609786.56,18048932.8
40244,176,489,5632,5116,20230709,5095,5,3609786.56,18048932.8
40245,411,1196,5503,5131,20230908,5126,5,3054282.13,15271410.65
40246,1969,5804,5100,5131,20240518,5252,1,3054282.13,3054282.13
40247,1457,4263,5116,5131,20230911,5127,5,3054282.13,15271410.65
40248,1355,3963,5542,5004,20240308,5217,4,1817131.41,7268525.64
40249,989,2938,5684,5004,20230724,5103,4,1817131.41,7268525.64
40250,1844,5429,5691,5004,20230321,5040,3,1817131.41,5451394.23
40251,3,9,5852,5004,20230823,5118,3,1817131.41,5451394.23
40252,1922,5662,5622,5004,20240308,5217,3,1817131.41,5451394.23
40253,934,2789,5315,5004,20241031,5707,5,1817131.41,9085657.05
40254,278,790,5786,5011,20241102,5708,2,139307.57,278615.14
40255,1911,5639,5604,5011,20230404,5047,2,139307.57,278615.14
40256,556,1652,5137,5011,20230811,5112,3,139307.57,417922.71
40257,1101,3266,5325,5011,20240627,5272,5,139307.57,696537.85
40258,1456,4257,5753,5011,20240122,5194,2,139307.57,278615.14
40259,1667,4897,5836,5018,20230901,5122,5,1008889.92,5044449.6
40260,933,2783,5904,5018,20241013,5698,5,1008889.92,5044449.6
40261,1193,3536,5126,5018,20230706,5094,2,1008889.92,2017779.84
40262,1512,4447,5214,5018,20240628,5273,4,1008889.92,4035559.68
40263,3,10,5852,5018,20230823,5118,3,1008889.92,3026669.76
40264,1683,4933,5824,5018,20240507,5247,5,1008889.92,5044449.6
40265,883,2641,5440,5029,20240117,5191,5,3953961.57,19769807.85
40266,200,564,5429,5029,20240923,5316,2,3953961.57,7907923.14
40267,1641,4820,5299,5029,20231029,5151,1,3953961.57,3953961.57
40268,1137,3371,5151,5029,20231102,5153,2,3953961.57,7907923.14
40269,268,761,5292,5029,20230722,5102,5,3953961.57,19769807.85
40270,1789,5267,5980,5029,20230128,5014,1,3953961.57,3953961.57
40271,696,2087,5901,5029,20241206,5725,2,3953961.57,7907923.14
40272,501,1467,5499,5029,20230602,5077,5,3953961.57,19769807.85
40273,1842,5426,5904,5036,20230701,5091,1,4118463.6,4118463.6
40274,1109,3290,5961,5036,20241118,5716,3,4118463.6,12355390.8
40275,630,1875,5768,5036,20230607,5079,3,4118463.6,12355390.8
40276,785,2345,5959,5036,20240916,5313,2,4118463.6,8236927.2
40277,1390,4070,5816,5036,20230221,5026,5,4118463.6,20592318.0
40278,130,356,5834,5043,20230716,5099,5,4158640.12,20793200.6
