campaign_id,campaign_name,start_date,end_date,channel
1,Campaign 1,2023-01-01,2023-01-02,Facebook Ads
2,Campaign 2,2023-01-03,2023-01-04,Facebook Ads
3,Campaign 3,2023-01-05,2023-01-06,Google Ads
4,Campaign 4,2023-01-07,2023-01-08,Email
5,Campaign 5,2023-01-09,2023-01-10,Facebook Ads
6,Campaign 6,2023-01-11,2023-01-12,SMS
7,Campaign 7,2023-01-13,2023-01-14,SMS
8,Campaign 8,2023-01-15,2023-01-16,Email
9,Campaign 9,2023-01-17,2023-01-18,Email
10,Campaign 10,2023-01-19,2023-01-20,Facebook Ads
11,Campaign 11,2023-01-21,2023-01-22,Facebook Ads
12,Campaign 12,2023-01-23,2023-01-24,Email
13,Campaign 13,2023-01-25,2023-01-26,Instagram
14,Campaign 14,2023-01-27,2023-01-28,Instagram
15,Campaign 15,2023-01-29,2023-01-30,Email
16,Campaign 16,2023-01-31,2023-02-01,Email
17,Campaign 17,2023-02-02,2023-02-03,Instagram
18,Campaign 18,2023-02-04,2023-02-05,Instagram
19,Campaign 19,2023-02-06,2023-02-07,SMS
20,Campaign 20,2023-02-08,2023-02-09,Google Ads
21,Campaign 21,2023-02-10,2023-02-11,Instagram
22,Campaign 22,2023-02-12,2023-02-13,Instagram
23,Campaign 23,2023-02-14,2023-02-15,Social Media
24,Campaign 24,2023-02-16,2023-02-17,SMS
25,Campaign 25,2023-02-18,2023-02-19,SMS
26,Campaign 26,2023-02-20,2023-02-21,Facebook Ads
27,Campaign 27,2023-02-22,2023-02-23,Google Ads
28,Campaign 28,2023-02-24,2023-02-25,Google Ads
29,Campaign 29,2023-02-26,2023-02-27,Email
30,Campaign 30,2023-02-28,2023-03-01,Social Media
31,Campaign 31,2023-03-02,2023-03-03,Facebook Ads
32,Campaign 32,2023-03-04,2023-03-05,Google Ads
33,Campaign 33,2023-03-06,2023-03-07,Instagram
34,Campaign 34,2023-03-08,2023-03-09,Instagram
35,Campaign 35,2023-03-10,2023-03-11,Instagram
36,Campaign 36,2023-03-12,2023-03-13,Facebook Ads
37,Campaign 37,2023-03-14,2023-03-15,SMS
38,Campaign 38,2023-03-16,2023-03-17,SMS
39,Campaign 39,2023-03-18,2023-03-19,Google Ads
40,Campaign 40,2023-03-20,2023-03-21,SMS
41,Campaign 41,2023-03-22,2023-03-23,Facebook Ads
42,Campaign 42,2023-03-24,2023-03-25,Email
43,Campaign 43,2023-03-26,2023-03-27,Email
44,Campaign 44,2023-03-28,2023-03-29,SMS
45,Campaign 45,2023-03-30,2023-03-31,Social Media
46,Campaign 46,2023-04-01,2023-04-02,Email
47,Campaign 47,2023-04-03,2023-04-04,Google Ads
48,Campaign 48,2023-04-05,2023-04-06,Google Ads
49,Campaign 49,2023-04-07,2023-04-08,SMS
50,Campaign 50,2023-04-09,2023-04-10,Google Ads
51,Campaign 51,2023-04-11,2023-04-12,Instagram
52,Campaign 52,2023-04-13,2023-04-14,Instagram
53,Campaign 53,2023-04-15,2023-04-16,Google Ads
54,Campaign 54,2023-04-17,2023-04-18,SMS
55,Campaign 55,2023-04-19,2023-04-20,Email
56,Campaign 56,2023-04-21,2023-04-22,Email
57,Campaign 57,2023-04-23,2023-04-24,Social Media
58,Campaign 58,2023-04-25,2023-04-26,Facebook Ads
59,Campaign 59,2023-04-27,2023-04-28,Social Media
60,Campaign 60,2023-04-29,2023-04-30,SMS
61,Campaign 61,2023-05-01,2023-05-02,SMS
62,Campaign 62,2023-05-03,2023-05-04,SMS
63,Campaign 63,2023-05-05,2023-05-06,Facebook Ads
64,Campaign 64,2023-05-07,2023-05-08,Email
65,Campaign 65,2023-05-09,2023-05-10,Google Ads
66,Campaign 66,2023-05-11,2023-05-12,Instagram
67,Campaign 67,2023-05-13,2023-05-14,Social Media
68,Campaign 68,2023-05-15,2023-05-16,Social Media
69,Campaign 69,2023-05-17,2023-05-18,Email
70,Campaign 70,2023-05-19,2023-05-20,Facebook Ads
71,Campaign 71,2023-05-21,2023-05-22,Social Media
72,Campaign 72,2023-05-23,2023-05-24,Facebook Ads
73,Campaign 73,2023-05-25,2023-05-26,Social Media
74,Campaign 74,2023-05-27,2023-05-28,SMS
75,Campaign 75,2023-05-29,2023-05-30,Google Ads
76,Campaign 76,2023-05-31,2023-06-01,Email
77,Campaign 77,2023-06-02,2023-06-03,Facebook Ads
78,Campaign 78,2023-06-04,2023-06-05,Email
79,Campaign 79,2023-06-06,2023-06-07,SMS
80,Campaign 80,2023-06-08,2023-06-09,SMS
81,Campaign 81,2023-06-10,2023-06-11,Instagram
82,Campaign 82,2023-06-12,2023-06-13,Email
83,Campaign 83,2023-06-14,2023-06-15,Facebook Ads
84,Campaign 84,2023-06-16,2023-06-17,Facebook Ads
85,Campaign 85,2023-06-18,2023-06-19,SMS
86,Campaign 86,2023-06-20,2023-06-21,Instagram
87,Campaign 87,2023-06-22,2023-06-23,Instagram
88,Campaign 88,2023-06-24,2023-06-25,Social Media
89,Campaign 89,2023-06-26,2023-06-27,Facebook Ads
90,Campaign 90,2023-06-28,2023-06-29,Email
91,Campaign 91,2023-06-30,2023-07-01,Instagram
92,Campaign 92,2023-07-02,2023-07-03,SMS
93,Campaign 93,2023-07-04,2023-07-05,Email
94,Campaign 94,2023-07-06,2023-07-07,Instagram
95,Campaign 95,2023-07-08,2023-07-09,Facebook Ads
96,Campaign 96,2023-07-10,2023-07-11,Instagram
97,Campaign 97,2023-07-12,2023-07-13,Facebook Ads
98,Campaign 98,2023-07-14,2023-07-15,Instagram
99,Campaign 99,2023-07-16,2023-07-17,Social Media
100,Campaign 100,2023-07-18,2023-07-19,SMS
101,Campaign 101,2023-07-20,2023-07-21,Instagram
102,Campaign 102,2023-07-22,2023-07-23,Social Media
103,Campaign 103,2023-07-24,2023-07-25,SMS
104,Campaign 104,2023-07-26,2023-07-27,Social Media
105,Campaign 105,2023-07-28,2023-07-29,Email
106,Campaign 106,2023-07-30,2023-07-31,Facebook Ads
107,Campaign 107,2023-08-01,2023-08-02,SMS
108,Campaign 108,2023-08-03,2023-08-04,Instagram
109,Campaign 109,2023-08-05,2023-08-06,Instagram
110,Campaign 110,2023-08-07,2023-08-08,Google Ads
111,Campaign 111,2023-08-09,2023-08-10,Instagram
112,Campaign 112,2023-08-11,2023-08-12,Facebook Ads
113,Campaign 113,2023-08-13,2023-08-14,Facebook Ads
114,Campaign 114,2023-08-15,2023-08-16,Instagram
115,Campaign 115,2023-08-17,2023-08-18,SMS
116,Campaign 116,2023-08-19,2023-08-20,Social Media
117,Campaign 117,2023-08-21,2023-08-22,Google Ads
118,Campaign 118,2023-08-23,2023-08-24,Facebook Ads
119,Campaign 119,2023-08-25,2023-08-26,Google Ads
120,Campaign 120,2023-08-27,2023-08-28,Google Ads
121,Campaign 121,2023-08-29,2023-08-30,Facebook Ads
122,Campaign 122,2023-08-31,2023-09-01,Social Media
123,Campaign 123,2023-09-02,2023-09-03,Social Media
124,Campaign 124,2023-09-04,2023-09-05,Facebook Ads
125,Campaign 125,2023-09-06,2023-09-07,Instagram
126,Campaign 126,2023-09-08,2023-09-09,SMS
127,Campaign 127,2023-09-10,2023-09-11,SMS
128,Campaign 128,2023-09-12,2023-09-13,Instagram
129,Campaign 129,2023-09-14,2023-09-15,Google Ads
130,Campaign 130,2023-09-16,2023-09-17,SMS
131,Campaign 131,2023-09-18,2023-09-19,Instagram
132,Campaign 132,2023-09-20,2023-09-21,Google Ads
133,Campaign 133,2023-09-22,2023-09-23,SMS
134,Campaign 134,2023-09-24,2023-09-25,SMS
135,Campaign 135,2023-09-26,2023-09-27,Instagram
136,Campaign 136,2023-09-28,2023-09-29,SMS
137,Campaign 137,2023-09-30,2023-10-01,Social Media
138,Campaign 138,2023-10-02,2023-10-03,Social Media
139,Campaign 139,2023-10-04,2023-10-05,Social Media
140,Campaign 140,2023-10-06,2023-10-07,Instagram
141,Campaign 141,2023-10-08,2023-10-09,SMS
142,Campaign 142,2023-10-10,2023-10-11,Google Ads
143,Campaign 143,2023-10-12,2023-10-13,SMS
144,Campaign 144,2023-10-14,2023-10-15,Google Ads
145,Campaign 145,2023-10-16,2023-10-17,SMS
146,Campaign 146,2023-10-18,2023-10-19,Social Media
147,Campaign 147,2023-10-20,2023-10-21,SMS
148,Campaign 148,2023-10-22,2023-10-23,SMS
